名前,説明,分布,分布番号,時期,英語名
カブトムシ,子どもたちに人気がある、なじみ深い大型のコガネムシの仲間。オスは、光沢のある黒褐色～赤褐色で、頭部に先端が4つに分かれた長い立派な角をもつ。前胸部にも先が2つに分かれた小さな角がある。個体によって角の形状には変異があり、小型の個体は頭部の角が小さく先端が2つにしか分かれない場合がある。メスは角をもたず、茶褐色で、全体が微毛でおおわれ光沢は鈍い。,北海道・本州・四国・九州,1234,3月-9月,rhinoceros_beetle
ナナホシテントウ,黄赤地に７つの黒紋をもつ、最もなじみ深いテントウムシ。草原や畑などでよく見られる。成虫で越冬し、春早くから活動を始める。かわいらしげなイメージとは違って、肉食性の昆虫で、成虫・幼虫ともに植物に付くアブラムシを食べる。,全国どこでも,12345,3-11月,ladybird
アブラゼミ,茶色のまだら模様の翅を持ったおなじみのセミ。真夏、いたるところに現れ、ジージーと油が煮えたぎるようにうるさく鳴く。電信柱や人家の壁にとまって鳴くことも多い。,北海道・本州・四国・九州,1234,7-9月,cicada
クロゴキブリ,だれもが知っている屋内害虫。全身が光沢のある黒褐色で、まるで油を塗ったよう。中国南部が原産地と考えられる帰化昆虫で、人家内やその付近に棲んでいる。過去には関東以南にのみ生息していたが、近年は北海道の人家にも定着している。,北海道・本州・四国・九州,1234,1年中,cockroach
モンシロチョウ,野原や畑でふつうに見られ、フワフワと飛ぶ白いチョウ。いろいろな花で吸蜜する。特に幼虫の食草であるキャベツ畑やアブラナ畑に多く、葉っぱを注意深く捜せば、卵や幼虫も簡単に見つけることができる。なじみ深いチョウだが、近似種のスジグロシロチョウや、モンキチョウの白色型のメスと見間違うことがある。,全国どこでも,12345,3-11月,cabbage_butterfly
モンキチョウ,原っぱ、公園、河原など開けた環境に広く生息する黄色いチョウ。メスには、白っぽいタイプもいる。大きさはモンシロチョウとほぼ同じ。活発に飛び、いろいろな花で吸蜜する。早春からあらわれ、晩秋まで見られる。幼虫はアカツメクサ、シロツメクサなどを食べる。,全国どこでも,12345,3-11月,colias_butterfly
ヒメアカタテハ,朱色地に黒い紋のある、やや小型のタテハチョウ。畑、公園、野原など開けた場所で見られ、都市周辺から高原まで広く分布する。素早く飛び、いろいろな花で吸蜜する。移動性が高く、夏から秋にかけて、温暖地から寒冷地に向かってどんどん分布を広げる。幼虫または成虫で越冬するが、寒さに弱いので温暖な地域でしか冬越しできない。幼虫の食草は、ヨモギ、ゴボウなど。,全国どこでも,12345,4-11月,monarch_butterfly
オオスズメバチ,頭が黄橙色、胸が黒色、腹部は黄橙色と黒色の縞模様の、親指大の大きなハチ。日本のハチの中で最大の種で、スズメバチの仲間としては世界最大。ヒメスズメバチに似るが、腹端（尾節）の色で見分けられる（オオスズメバチの腹端は黄色で、ヒメスズメバチの腹端は黒色）。コガタスズメバチにも似るが、本種のほうがより大きいことや、働き蜂の場合は頭楯（頭部正面の大顎や両複眼に囲まれた部分）の下の突起が2個であることで見分けられる（コガタスズメバチは3個）,北海道・本州・四国・九州,1234,4-10月,hornet
ニホンミツバチ,最もなじみ深いハチのひとつ。暗茶褐色で、腹部に縞模様がある。セイヨウミツバチより全体に黒っぽく、腹部上部はオレンジ色にならない（セイヨウミツバチはオレンジ色）。木の洞や地中に巣を作る。セイヨウミツバチは養蜂のために移入されたものだが、この種類はもともと日本にいたもの。アジア全域に分布し、その全体を指してトウヨウミツバチと呼ぶ。ニホンミツバチは、トウヨウミツバチの亜種（Apis cerana japonica）にあたる。,北海道・本州・四国・九州,1234,,honey_bee
オオマルハナバチ,黒色と黄白色の毛で全身がおおわれたハチ。顔にも黒い毛がはえている。いろいろな花を盛んに訪れる。,北海道・本州・四国・九州,1234,4-10月,bumblebee
ザリガニ,赤褐色で大きなハサミを持ったおなじみの生き物。田、水路、溝、池沼、河川（中流～下流）などで普通に見られる。水質の悪化や、水温上昇、水位変動などに強く、さまざまな環境に適応できる。年頃に、養殖用ウシガエルのエサとして北アメリカから移入された帰化動物。,本州・四国・九州,234,3-11月,crayfish
ダンゴムシ,黒褐色で、身を守るために体を完全に丸くすることができる生き物。人家の庭や公園、荒地など、いろいろな場所で見られる。石の下や落ち葉の下に多い。ヨーロッパ原産の帰化動物。,全国どこでも,12345,1年中,isopod
ウスバキトンボ,アカトンボに似ているが、やや大きくて、翅の幅が広めの、くすんだ黄色～赤褐色のトンボ。全世界の熱帯・亜熱帯で見られる。日本には初夏の頃に、南の国からやって来て、どんどん北に向かって分布を広げるが、冬は越せずに死んでしまう。秋に個体数が多くなる。学校のプールでもよく発生する。,全国どこでも,12345,4-11月,dragonfly
ショウリョウバッタ,頭部が尖った大きなバッタ。特にメスは大きく、８cmにもなる。オスは細身で４～５cm程度と小さい。緑色型と褐色型がある。明るい原っぱでよく見られ、住宅地周辺にも生息する。地上性で、驚くと翅を使って遠くまで飛ぶ。オスは、飛ぶときにチキチキという音をたてる。,本州・四国・九州・沖縄,2345,8-11月,grasshopper
カマキリ,緑色または茶色の大きなカマキリ。林縁の草むらや樹上で多く見られ、開けた原っぱにはあまりいない。あらゆる昆虫を強力な鎌足で捕らえて食べる。時には、カエルやトカゲを食べることもある。チョウセンカマキリに似ているが、本種の方が、体が大きくて太いことと、後翅が紫褐色をしていることで見分けられる。,北海道・本州・四国・九州,1234,8-11月,mantis
アマガエル,黄緑色～灰褐色で、鼻先から鼓膜にかけて黒帯があるずんぐりしたカエル。体表は滑らか。周囲の環境によって、体色を変えることができる。平地、山地に広く分布し、草原や林縁、水田のほか、市街地の公園や人家の庭先などでも見られる。,北海道・本州・四国・九州,1234,3-11月,ranidae
ニホンイモリ,黒褐色で、腹面は全体に赤く、不規則な黒褐色斑がある。腹面の色彩や斑紋は、地域や個体による変異が大きい。池、水田、湿地などの水中で見られる。世界中のイモリ科の中で、最も北に分布する。,本州・四国・九州,234,4-10月,salamandridae
ヤモリ,灰褐色で、全身が細かい顆粒状の鱗で覆われ、乾いた感じがするトカゲ。体は平たい。人家の内外でよく見られ、壁や天井を歩き回る。夜行性で、灯火の周辺などに現れ、光に集まってきた昆虫を食べる。,本州・四国・九州,234,4-11月,gecko
ヘビ,暗青色～茶褐色の大きなヘビ。森林から人家周辺まで広く生息する。樹上でよく見られる。ネズミ、鳥、鳥の卵などを食べる。,北海道・本州・四国・九州,1234,4-11月,snake
イオウイロハシリグモ,脚の長い大きなクモ。個体によって色彩変異が大きく、黄色や褐色の単色のもの、褐色で体側に白い帯があるもの、黒褐色のまだら模様があるもの（下の写真）など、さまざま。雑木林周辺の草や低木の葉上でよく見られる,全国どこでも,12345,7-10月,arachnid
ナガコガネグモ,腹部に黄色と黒のこまかい縞模様がある大きなクモ。草原や林の周辺、水田などに、円網を張る。網には、ジグザグの直線状や円盤状など、さまざまな形のかくれ帯をつけ、その中央にとまる。,全国どこでも,12345,8-11月,yellow_garden_spider
アカミミガメ,甲羅は緑褐色、頭部や四肢は暗緑色で、側頭部に鮮やかな赤い斑紋があるカメ。アメリカ大陸原産の帰化種。河川、池沼などに広く生息し、都市部の池、公園などでも見られる。雑食性で、魚、ザリガニ、貝類、水草などを食べる。幼体は黄色味の強い緑色で、ミドリガメと呼ばれる。,全国どこでも,12345,4-11月,emydidae
トビズムカデ,胴体は暗藍色で頭部は赤褐色、脚は黄色の日本最大のムカデ。雑木林の林床周辺で見られるが、人家内に侵入することも多い。不用意につかむと大あごで噛みつかれるので要注意。,本州・四国・九州・沖縄,2345,3-11月,centipede
ヤマタニシ,殻は茶褐色～黒褐色で、蓋を持つ。長い後触角を伸ばして移動する。山地の落ち葉や礫の下で見られる。,本州（中部以南）・四国・九州,234,1年中,snail
オオカバマダラ,きれいな黒とオレンジのはねを持つマダラチョウの仲間。アメリカのオオカバマダラはロッキー山脈を境に、それぞれ西部個体群と東部個体群に分けられ、秋になると西部個体群はカリフォルニア、東部個体群はメキシコに移動する。渡り鳥のような蝶として有名。,南西諸島・小笠原諸島,5,9月-11月,monarch_butterfly